country,iso_country_code_2018,population_2018,surface_area_(km2)_2018,gini_index_varies_by_country,happy_planet_index_2016,happy_planet_index_2019,human_development_index_2017,human_development_index_2021,sustainable_economic_development_assessment_(seda)_2018,gdp_growth_(annual_%)_2018,gdp_growth_(annual_%)_2021_or_latest_year,gdp_($_usd_billions_ppp)_2018,gdp_($_usd_billions_ppp)_2019,gdp_($_usd_billions_ppp)_2020,gdp_($_usd_billions_ppp)_2021,gdp_per_capita_in_$_(ppp)_2018,gdp_per_capita_in_$_(ppp)_2019,gdp_per_capita_in_$_(ppp)_2020,gdp_per_capita_in_$_(ppp)_2021,economic_growth_2018,economic_growth_2021_or_latest,health_expenditure_%_of_gdp_2014,health_expenditure_%_of_gdp_2015,health_expenditure_%_of_gdp_2016,health_expenditure_%_of_gdp_2017,health_expenditure_%_of_gdp_2018,health_expenditure_%_of_gdp_2019,health_expenditure_%_of_gdp_2020,health_expenditure_%_of_gdp_2021,health_expenditure_%_of_gdp_2021_or_latest,health_expenditure_per_person_2015,health_expenditure_per_person_2018,health_expenditure_per_person_2019,infant_mortality_2020,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",education_expenditure_%_of_gdp_2014,education_expenditure_%_of_gdp_2018,education_expenditure_%_of_gdp_2021_or_latest_year,education_as_%_of_gdp_2018,education_as_%_of_gdp_2021_or_latest,%_of_primary_school_aged_kids_out_of_school_2018,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,unemployment_(%)_2018,unemployment_(%)_2021,%_of_population_in_extreme_poverty_latest_year,%_of_population_with_access_to_electricity_2020,political_rights_score__2018,political_rights_score__2022,civil_liberties_score__2018,civil_liberties_score__2022,political_stability_&_absence_of_violence_2017,political_stability_&_absence_of_violence_2021,government_effectiveness_2017,government_effectiveness_2021,regulatory_quality_2017,regulatory_quality_2021,rule_of_law_2017,rule_of_law_2021,control_of_corruption_2017,control_of_corruption_2021,judicial_effectiveness_score_2018,judicial_effectiveness_score_2022,government_integrity_score_2018,government_integrity_score_2022,overall_economic_freedom_score_2017,overall_economic_freedom_score_2022,financial_freedom_score_2018,financial_freedom_score_2022,government_expenditure_(%_of_gdp)_2018,co2e_emissions_per_capita_2019,share_of_electricity_from_renewables_generation_2015,share_of_electricity_from_renewables_generation_2020_or_latest_year,%_of_seats_held_by_women_in_national_parliaments_2017,%_of_seats_held_by_women_in_national_parliaments_2018,%_of_seats_held_by_women_in_national_parliaments_2021,military_spending_as_%_of_gdp_2021,military_spending_as_%_of_gdp_2019
China,CHN,1386000000,9326410,46.5,25.7,41.9,0.752,0.768,50.8,6.9,8.109792581,21229.36369,22492.61714,22996.3847,24861.3438,15495.54842,16652.0988,17189.28179,19338.23408,6.749773832,8.109792581,3.726639986,3.82487011,3.79362011,3.667449951,3.542490005,3.539999962,3.569999933,,3.57,762,501.0593872,535.1333618,57.9,29,,3.542490005,3.569999933,3.542490005,3.569999933,,,4.6,4.816999912,0.1,100,0,-2,14,11,-0.25,-0.481860131,0.42,0.840674877,-0.15,-0.313303292,-0.26,0.035164542,-0.27,0.053693742,65.4,37.4,47.3,39.3,57.8,48,20,20,30.7,7.605936961,0.25,0.292123222,24.2,24.89932886,24.94117647,0.017363405,0.019
Colombia,COL,49000000,1038700,51.1,40.7,60.2,0.843,0.752,49.1,3.1,10.5632927,710.8908444,733.5459076,681.8444829,753.8697113,15044.05534,15673.09435,14868.46982,16893.81718,2.564324283,10.5632927,4.629459858,4.470389843,4.477210045,4.535510063,4.449100018,4.506219864,4.933100224,,4.93,853,513.1586914,495.3297119,47.2,83,4.665160179,4.449100018,4.933100224,4.449100018,4.933100224,2.282979965,1.20878005,9.9,14.33600044,5.6,100,29,29,36,35,-0.79,-0.914076626,-0.07,-0.014559229,0.34,0.220075607,-0.36,-0.452087343,-0.37,-0.344050169,36.4,59.1,33.4,42,68.9,65.1,70,70,29.2,1.609870831,0.694,0.671044708,18.7,18.12865497,18.82352941,0.03401894,0.032
Comoros,COM,800000,2235,55.9,23.1,42.4,0.752,0.558,,1,2.347803566,2.557820893,2.60285864,2.595230973,2.656161898,3146.531646,3188.083106,3147.856597,3284.401492,3.642451147,2.347803566,2.744729996,2.545059919,,,,,,,,121,69.41635895,72.32379913,12.2,273,4.864930153,,,,,18.1545105,,20,9.44699955,,86.73713684,24,16,31,26,0.03,-0.227460593,-1.57,-1.790166259,-1.04,-1.2474581,-1.05,-1.2248559,-0.68,-1.287278533,28.2,21.2,27.5,20.1,56.2,50.4,30,30,27.2,0.376076363,0.037,0.003910221,6.1,6.060606061,16.66666667,,
Congo (Dem. Rep.),COD,81000000,2267048,42.1,,40.5,0.457,0.479,24.8,7.7,5.712203681,91.28901044,95.29160347,96.94531565,102.4830295,1111.835806,1144.287321,1141.726007,1218.768128,5.8211211,5.712203681,1.951429963,2.170439959,2.118690014,1.454949975,,,2.450000048,2.700000048,2.7,34,18.52062225,20.57073212,33,473,,,2.700000048,,2.700000048,,,3.6,5.426000118,,19.10000038,2,2,19,15,-2.3,-1.614666939,-1.63,-1.71887815,-1.47,-1.422889113,-1.69,-1.70383513,-1.42,-1.55,23.9,13.2,27.3,11.8,52.1,47.6,20,20,13.2,0.036985586,0.546,0.28871193,8.9,8.943089431,12.8,0.005616858,0.027
Congo (Rep.),COG,4500000,341500,48.9,18.8,47.2,0.606,0.571,32.7,2.5,-3.5,20.60210245,20.58420211,19.29988795,18.62439187,4022.278572,3987.163642,3689.111729,3616.864508,-4.805351558,-3.5,3.183710098,3.282579899,5.239999771,4.450520039,2.995480061,3.575389862,4.448618889,,4.45,203,49.46409988,48.55877304,11.4,378,,2.995480061,4.448618889,2.995480061,4.448618889,15.6294899,,11.2,23.01099968,,49.51710129,4,4,13,15,-0.53,-0.606616318,-1.19,-1.551096678,-1.33,-1.354569435,-1.1,-1.135856986,-1.33,-1.37,28.2,14.9,24.6,13.4,38.9,48.5,30,30,47.1,1.349316017,0.998,0.999489724,11.3,11.25827815,11.25827815,0.02912712,0.007
Costa Rica,CRI,4900000,51060,48.5,44.7,62.1,0.794,0.809,58.9,3.7,7.579565299,103.3515645,105.8501008,101.5622104,109.2601845,21319.04399,22632.44207,22243.80196,23387.13223,2.615904404,7.579565299,6.67952013,6.87349987,6.893959999,7.069809914,6.769919872,6.7958498,6.710669994,,6.71,1286,909.6730957,921.5857544,14.04995218,27,6.858910084,6.769919872,6.710669994,6.769919872,6.7958498,0.119230002,0.073770002,9,17.95400047,0.9,99.90000153,38,38,53,53,0.51,0.872772753,0.25,0.25731039,0.45,0.45639354,0.45,0.451845199,0.47,0.495704889,57.8,78.4,51.8,63.1,65.6,65.4,50,50,19.3,1.632471558,0.991,0.998065605,35.1,45.61403509,45.61403509,,0
Cote d'Ivoire,CIV,24000000,318003,41.5,14.4,39.6,0.794,0.55,30.5,8.6,7.021501836,126.1854183,134.048927,136.6740506,146.2706216,5153.729184,5432.547727,5465.068781,5939.764136,6.89028432,7.021501836,3.314169884,3.494159937,3.97232008,3.80347991,3.239939928,3.71638155,3.443016052,,3.44,190,72.17318726,75.08779144,48.3,617,4.577429771,3.239939928,3.443016052,3.239939928,3.44,6.181469917,3.336088419,9.3,3.467999935,2.4,69.67912292,19,19,32,30,-1.09,-0.952860296,-0.74,-0.501908422,-0.36,-0.256431401,-0.63,-0.633732677,-0.52,-0.37,44.2,30,36.6,33.8,62,61.6,50,50,22.6,0.421129515,,,10.6,10.58823529,14.17322835,0.012514813,0.011
Croatia,HRV,4200000,55974,30.8,30.2,46.2,0.831,0.858,64.5,1.6,10.44887245,115.2458129,119.2586094,109.5989468,121.0508009,28877.23828,30543.93375,28780.31674,33800.55148,2.900009599,10.44887245,,,,3.854759932,3.907550097,,,,,1656,1014.222351,1040.085693,46.7,8,,3.907550097,,3.907550097,,1.617799997,,13.5,8.682999611,0.2,100,37,36,49,49,0.75,0.707874298,0.58,0.591041088,0.42,0.502004385,0.33,0.302556723,0.19,0.061275687,56.5,69.9,40.5,50,61,67.6,60,60,47.4,4.063707833,0.685,0.591844405,18.5,18.54304636,31.12582781,0.027355686,0.017
Cuba,CUB,11000000,109820,,,,0.777,0.764,,4.3,-10.94834097,,,,,,,,,2.248480393,-10.95,,,,,,,,,,,986.9373169,1031.921753,,36,,,,,,2.155580044,0.197510004,2.9,2.756000042,,100,1,1,13,11,0.69,0.427318871,-0.2,-0.215295181,-1.33,-1.443354964,-0.43,-0.404114395,0.27,-0.009721875,10,15.6,38.1,39.9,31.9,29.5,10,10,62.4,2.286146065,0.042,0.046398579,48.9,53.2231405,53.41296928,,0.029
Cyprus,CYP,800000,9241,34.8,30.7,49.4,0.869,0.896,65.9,1.6,5.512685364,34.78270777,36.62034341,34.79507832,36.71322151,40559.125,42338.87891,39593.42578,42556.10938,5.692841724,5.512685364,6.440499783,6.326129913,6.145410061,5.718530178,,,,,,2137,1981.778442,1996.458252,2.3,6,,,,,,0.575219989,,11.7,6.130000114,0.2,100,38,38,56,55,0.6,0.443113804,0.92,0.736126184,1.03,0.859048605,0.88,0.63703239,0.78,0.394521177,56.7,90.9,41.3,62.9,67.8,72.9,60,60,39.6,5.998795283,0.092,0.13253012,17.9,17.85714286,14.28571429,0.019868122,0.016
Czech Republic,CZE,11000000,77247,,27.3,46.8,0.888,0.889,71.1,4.2,3.342653009,424.4848318,437.3445075,411.988087,425.7594192,41135.49298,42847.00474,41608.02535,44260.85647,3.198656101,3.342653009,3.965229988,5.751820087,5.553730011,3.806159973,4.26692009,,,,4.26692009,2470,1765.588623,1844.217773,3.1,3,,4.26692009,,4.26692009,4.27,0.410930008,,4,2.887000084,0,100,37,36,56,55,1.02,0.957600653,1.02,1.110251784,1.23,1.348507047,1.12,1.126015306,0.57,0.641104996,57.9,81.8,51.1,59.6,74.2,74.4,80,80,41.4,9.022786158,0.121,0.155905323,20,22,25,0.014340914,0.012
Denmark,DNK,6000000,42434,29,32.7,45.3,0.929,0.948,82,1.2,4.693433017,325.4793711,332.3621669,325.5084437,340.7859645,57482.9624,58700.97467,60229.91477,64651.21645,1.989537315,4.693433017,7.634850025,,,7.752439976,6.792779922,,,,6.792779922,5083,6216.768555,6003.325195,27.9,4,,6.792779922,,6.792779922,6.79,0.60374999,,6.1,4.797999859,0.2,100,40,40,57,57,0.87,0.949907005,1.8,2.004073381,1.62,1.808820605,1.86,1.936437488,2.19,2.366175175,83.6,89.6,84.1,99.5,76.6,78,80,80,54.6,5.107988509,0.694,0.85202235,37.4,37.4301676,39.66480447,0.013715915,0.013
Djibouti,DJI,1000000,23180,40.9,16.4,,0.476,0.509,,6.5,4.309661446,4.851881588,5.120924758,5.182479402,5.405826719,5180.596948,5482.012136,5532.682123,5925.795296,4.774416888,4.309661446,,3.590240002,3.924390078,3.748559952,3.627739906,,,,3.627739906,147,71.08630371,61.80943298,31.7,248,,3.627739906,,3.627739906,3.63,37.8930397,33.48466873,6.6,28.38599968,,61.76708221,7,5,19,19,-0.71,-0.707261562,-1.03,-0.798380613,-0.64,-0.869137228,-0.91,-1.009249926,-0.64,-0.782866001,13.8,28.3,29,24.5,45.1,55.3,50,50,49.3,0.431407701,,0.017421603,10.8,26.15384615,26.15384615,,0.037
Dominican Republic,DOM,11000000,48320,47.1,30.3,54.8,0.736,0.767,48.1,7,12.27199023,188.2258548,197.7353412,184.447053,207.0823773,18134.93226,19190.00888,17934.19325,20769.18082,6.982527585,12.27199023,3.963769913,3.816240072,3.850500107,3.920269966,3.928489923,4.042769909,4.618702412,,4.618702412,873,461.5351563,491.0593567,19.5,95,,5.571549892,4.69630003,3.928489923,4.618702412,5.673140049,4.109879971,14.4,8.49600029,0.4,100,26,27,41,41,0.16,0.137410507,-0.35,0.030997649,-0.08,0.089125387,-0.42,-0.096047066,-0.74,-0.569274545,23.1,55.9,26.2,30.8,61.6,63,40,40,17.7,2.535627952,0.122,0.109218923,26.8,26.84210526,27.89473684,0.006505627,0.007
Ecuador,ECU,17000000,276841,45.9,37,58.8,0.752,0.74,48.1,0,4.235251242,197.525051,197.5489616,182.1646247,189.8797542,11837.95927,11850.49495,10890.45664,11661.19317,1.289291933,4.235251242,5.260990143,4.998700142,4.362750053,4.614260197,4.621459961,4.225659847,4.134130001,,4.134130001,980,495.1695862,486.492157,16.6,59,,4.621459961,4.134130001,4.621459961,4.13,1.312070012,1.379860044,5.4,6.427000046,2.1,98.84999847,25,31,35,40,-0.1,-0.266253769,-0.32,-0.209148362,-1,-0.702785313,-0.7,-0.339322567,-0.6,-0.573393404,23.3,47.3,30.2,37.2,48.5,54.3,40,40,39.8,2.261469817,0.541,0.811713029,38,37.95620438,39.41605839,0.02455712,0.023
Egypt,EGY,98000000,995450,31.8,23.8,43.2,0.696,0.731,43.1,4.2,3.326742091,1118.715683,1180.890365,1223.044248,1263.731775,11637.87851,12259.71657,12605.97574,13316.24499,5.314121037,3.326742091,4.25138998,3.930850029,4.050000191,,,2.609999895,2.480000019,,2.480000019,495,125.545372,149.8403168,3.058440486,37,,,2.480000019,,2.48,0.651929975,,12,9.329000473,,100,10,6,16,12,-1.42,-1.024205089,-0.62,-0.432110906,-0.86,-0.50658381,-0.53,-0.24483043,-0.54,-0.68,52.5,22.1,32.2,28.7,53.4,49.1,50,50,34.1,2.484059911,0.087,0.095907865,14.9,14.93288591,27.7027027,0.013008191,0.012
El Salvador,SLV,6000000,20721,36,35.6,56.3,0.674,0.675,47.2,2.4,10.80086859,55.31910343,56.6371261,51.77691751,57.36927434,8821.519457,9146.512043,8419.799438,9668.727256,2.432287587,10.80086859,3.824160099,3.909879923,3.825239897,3.725229979,3.605750084,3.385159969,,,3.385159969,578,288.5174561,300.0532837,1.6,46,3.448559999,3.605750084,3.385159969,3.605750084,3.39,,,6.3,5.940000057,0.3,100,34,26,36,33,-0.25,-0.211234391,-0.37,-0.312677413,-0.15,-0.34409225,-0.86,-0.8475371,-0.51,-0.532646835,35.4,46.8,25.2,36.1,63.2,59.6,60,60,21.3,1.208637136,0.584,0.71212376,32.1,30.95238095,27.38095238,0.01374902,0.012
Equatorial Guinea,GNQ,800000,28051,,,,0.591,0.596,,-12.2,-0.9453919,26.68459903,25.22179644,24.15201945,23.92368822,20873.03796,19385.41369,18157.51367,18127.18648,-6.236550982,-0.9453919,,,,,,,,,,790,310.5848694,254.891098,3.6,301,,,,,,,,7.3,9.244999886,,66.74772644,1,0,6,5,-0.15,-0.286741406,-1.44,-1.15928483,-1.4,-1.712811947,-1.49,-1.19723165,-1.83,-1.567582011,17.6,6.9,26.2,6.5,42,47.2,30,30,36.1,3.945480032,0.459,0.105795849,24,20,23,0.013051715,0.011
Eritrea,ERI,5000000,101000,,,,0.44,0.492,,4.8,,,,,,,,,,,,,,,,,,,,,56,23.97976303,25.2679348,2.7,480,,,,,,47.34817886,,7.3,8.046999931,,52.1710968,1,1,2,2,-0.66,-1.005785942,-1.73,-1.676823735,-2.2,-2.268742085,-1.56,-1.57183075,-1.2,-1.236861944,13.8,3.9,23.4,11.1,41.7,39.7,20,20,28.5,0.251635846,0.01,0.05269398,22,22,22,,
Estonia,EST,1300000,42388,34.8,17.9,34.4,0.871,0.89,70.8,1.1,8.34945362,46.39835758,48.29899328,46.87365651,50.78735072,36249.35815,37851.30077,37645.22136,42191.5144,4.133819798,8.34945362,4.394330025,5.144189835,5.15763998,4.961319923,5.26320982,,,,5.26320982,1887,1552.632446,1598.818848,35.4,9,,5.26320982,,5.26320982,,2.157160044,,6.9,6.330999851,0.3,100,38,38,56,56,0.66,0.755603731,1.12,1.382561922,1.64,1.559108973,1.28,1.427687645,1.24,1.535825491,83.9,92.3,75.7,83.9,78.8,80,80,70,39.8,7.672277909,0.165,0.441884107,26.7,26.73267327,25.74257426,0.02155515,0.021
Eswatini,SWZ,1100000,17204,50.4,15.5,35.3,0.588,0.597,,1.7,7.426132285,9.68279316,9.934706117,9.750861926,10.47497383,8725.110443,9018.115773,8865.017138,9815.812257,2.382964423,7.426132285,7.070590019,5.355750084,5.414669991,6.138090134,5.679160118,5.645549774,5.342339993,4.995297909,4.995297909,,298.118927,264.0551453,,437,,5.679160118,4.995297909,5.679160118,5,16.34914017,,25.3,25.75600052,,79.73049927,1,1,15,16,-0.3,-0.030135727,-0.58,-0.728663802,-0.56,-0.582627952,-0.29,-0.561079085,-0.3,-0.650570393,35.3,36.9,26.9,32.1,55.9,51.4,40,40,34.1,0.836140045,0.536,0.546147702,6.2,7.246376812,9.589041096,0.016980236,0.018
Ethiopia,ETH,105000000,1000000,33,26.7,41.7,0.463,0.498,32.3,10.2,5.637303008,229.7552786,248.972207,264.0587547,278.9445469,2153.769081,2315.158138,2422.681026,2599.736165,6.816147797,5.637303008,4.602019787,4.737919807,5.061510086,5.64951992,5.06867981,,,,5.06867981,66,24.29408836,26.74220467,3.224485601,401,,5.06867981,,5.06867981,5.07,,12.79203033,5.7,3.694000006,,51.0939827,4,12,8,11,-1.69,-2.06836009,-0.7,-0.613235295,-1.01,-0.928053856,-0.45,-0.606264889,-0.56,-0.397181958,37.6,20.5,37.7,33.2,52.8,49.6,20,20,17.7,0.163813429,1,0.999646696,38.8,38.75685558,42.58823529,0.005278282,0.006
Fiji,FJI,900000,18274,,,,0.741,0.73,49,4.3,-4.081424941,12.23290917,12.17840381,10.33327618,9.911531269,14176.90602,14261.83161,12158.24331,12059.77503,3.812351222,-4.081424941,4.268219948,4.809319973,4.83589983,4.651189804,4.835710049,5.067880154,,,5.067880154,331,216.0964203,235.6750183,3.4,34,,4.835710049,5.067880154,4.835710049,5.07,,1.178259969,7.9,5.238999844,0.2,100,24,23,35,35,0.79,0.667941689,0.09,0.623805881,-0.22,-0.004540864,-0.25,0.310964048,0.36,0.47165674,47.1,43.4,34.8,54.3,62,56.4,50,50,32.6,1.831553275,0.462,0.579019962,16,19.60784314,21.56862745,0.016506275,0.016
Finland,FIN,6000000,303815,27.2,31.3,51.3,0.92,0.94,81.3,0.4,3.474547181,265.0186806,268.2539071,262.0860628,271.1923668,49580.6052,50321.53969,50937.16075,55006.64531,1.141947509,3.474547181,7.102369785,7.032080173,6.851530075,6.363110065,6.275420189,,,,6.275420189,3669,4515.677246,4450.302734,23,3,7.15155983,6.275420189,,6.275420189,,1.327100039,,9,7.525000095,0,100,40,40,60,60,1.07,0.981907785,1.94,1.960441709,1.82,1.898075581,2.03,2.057868481,2.22,2.270076752,82.7,97.8,89.8,96.4,74.1,78.3,80,80,57.1,7.372854761,0.463,0.532210878,42,42,46,0.020302808,0.015
France,FRA,67000000,549970,29.3,30.4,51.8,0.901,0.903,73.9,1.1,6.963570788,3038.643986,3094.645338,2851.553023,3050.122936,46576.60185,49072.36383,46991.18203,50728.66743,1.865066071,6.963570788,,,,5.451600075,5.407169819,,,,5.407169819,4542,4657.75293,4491.735352,,8,5.51760006,5.407169819,,5.407169819,,0.01472,,10,8.062999725,0,100,38,38,52,51,0.21,0.371733695,1.35,1.2675246,1.16,1.235557437,1.44,1.289128065,1.26,1.310407043,72.7,85.5,65.1,75.9,63.9,65.9,70,70,57,4.468770089,0.168,0.236940009,39,39.58333333,39.51473137,0.019453823,0.019
Gabon,GAB,1900000,257667,42.2,17.5,39.9,0.702,0.706,40.9,4,1.505359401,31.24595109,32.47104509,31.87430491,32.35412776,15095.9268,15576.64316,15105.13431,15597.52108,0.837916581,1.505359401,2.666670084,2.991663933,2.662058353,3.32681179,2.933458805,2.732324123,3.181609392,,3.181609392,481,218.4752808,215.0191498,3.6,252,,2.933458805,3.181609392,2.933458805,3.181609392,,,18.5,22.26499939,,91.57156372,4,3,19,18,-0.09,-0.08597564,-0.94,-0.7835868,-0.79,-0.808025301,-0.68,-0.695860267,-0.81,-0.850754976,27.8,18.6,33.4,24.4,58,55.8,40,40,22.6,2.416484011,0.45,0.581812147,17.1,,16.1971831,0.017100361,0.016
"Gambia, The",GMB,2100000,10120,50.2,,,0.46,0.5,,4.4,5.626499143,4.920615376,5.22677868,5.216229843,5.509720971,2209.634266,2320.305837,2276.650708,2433.898396,7.234890333,5.626499143,2.230940104,2.160029888,2.024430037,2.459194422,2.365439892,2.788928032,2.763717175,,2.763717175,,35.81452942,29.72580338,51.4,597,,2.365439892,2.763717175,2.365439892,2.76,18.19148064,13.63239956,29.7,11.21199989,,62.27306747,20,21,21,26,,0.175200671,,-0.638483942,,-0.873302341,,-0.38554275,,-0.358450145,38.8,37.2,36.8,38.1,52.3,58,50,50,29.4,0.247050718,,0.010169426,10.3,10.34482759,8.620689655,0.007486514,0.008
Georgia,GEO,3700000,69700,40.1,31.1,44.3,0.78,0.802,55.4,2.8,10.35894265,53.116027,55.76245363,51.99266651,57.37855702,14593.92448,15621.87366,14731.20059,16997.14894,4.842919885,10.35894265,2.997679949,3.164870024,3.593869925,3.574429989,3.52105999,3.808640003,3.850080013,,3.850080013,718,312.7469177,291.1220398,33,25,,3.52105999,3.850080013,3.52105999,3.850080013,0.786210001,0.623090029,11.6,10.6590004,1.5,100,26,22,38,36,-0.37,-0.423428178,0.57,0.654211462,1.05,1.060541391,0.33,0.170995161,0.74,0.688035369,64.2,56.4,61.8,64.4,76.2,71.8,60,70,29.8,2.717624226,0.789,0.758773518,16,16,19.33333333,0.016732217,0.02
Germany,DEU,83000000,348672,27,29.8,52.7,0.936,0.942,79.6,1.5,2.892602433,4434.368344,4481.173468,4276.401016,4400.100296,55235.3663,55652.88749,54844.54597,57927.59007,1.086024514,2.892602433,4.921020031,4.855150223,4.839230061,4.871829987,4.975769997,,,,4.975769997,5357,5481.987305,5440.251465,47.2,7,4.931129932,4.975769997,,4.975769997,,0.688939989,,4.3,3.535000086,0,100,39,39,55,55,0.58,0.755996048,1.72,1.331146359,1.78,1.631536007,1.61,1.608524799,1.84,1.813231826,78,95.3,75.3,89.4,74.2,76.1,70,70,44.2,7.911621016,0.318,0.485782412,37,30.74753173,34.91847826,0.013373843,0.013
Ghana,GHA,29000000,227533,42.3,21.4,39.5,0.592,0.632,40.2,3.5,5.356477897,158.219737,168.5163212,169.3823968,178.4553274,5442.2359,5773.860982,5749.655385,6178.285065,6.200077681,5.356477897,4.39978981,4.434050083,4.394529819,3.533629894,3.886130095,,,,3.886130095,249,76.83074188,75.28166199,,308,6.159830093,3.886130095,,3.886130095,,3.623579979,5.983699799,5.8,4.703999996,,85.87355042,37,35,46,45,0.09,0.066447861,-0.11,-0.149478808,-0.14,-0.200255007,0.13,-0.081007682,-0.23,-0.106090412,43.7,57,32.9,45.4,56,59.8,60,60,26.5,0.658823541,0.522,0.385279612,12.7,12.72727273,14.54545455,0.004921006,0.004
Greece,GRC,11000000,130647,36.7,23.6,48.8,0.87,0.887,64.1,-0.2,8.33610201,312.768786,318.409869,289.6920719,313.8410985,29617.54834,30356.2664,27948.64973,31295.14533,1.668428636,8.33610201,,3.661390066,,3.477089882,3.597340107,,,,3.597340107,2204,1572.684204,1500.594971,14.5,3,,3.597340107,,3.597340107,,1.428419948,0.892690003,23.9,14.79500008,0.4,100,35,37,50,50,-0.13,0.154484168,0.31,0.443549573,0.24,0.44170779,0.08,0.349768281,-0.14,0.207244009,59,69.9,37.9,52.3,57.3,61.5,40,50,51.3,5.59618907,0.297,0.435522035,18.3,18.66666667,21.66666667,0.038673696,0.026
Guatemala,GTM,17000000,107159,53,34.2,57.9,0.65,0.627,42.5,4,7.527628776,138.3307043,143.6797543,141.4967846,152.1481373,8664.33432,9018.51752,8852.947743,9769.238227,3.322097997,7.527628776,2.985620022,3.030329943,2.944740057,2.950099945,3.137049913,3.199280024,3.299720049,,3.299720049,444,259.6201782,271.0212708,,95,2.941390038,3.137049913,3.299720049,3.137049913,3.299720049,10.62872028,10.55453968,2.4,3.572000027,,97.05526733,23,21,33,30,-0.57,-0.392172635,-0.64,-0.751769006,-0.26,-0.315212965,-1.06,-1.092781067,-0.74,-1.173671126,33.1,36.9,27.3,26.5,63.4,63.2,50,50,12.5,1.162970924,0.617,0.754285621,12.7,12.65822785,19.375,0.004445675,0.004
Guinea,GIN,13000000,245717,39.4,,38.1,0.459,0.465,28.3,0.1,3.12323,31.03209592,32.77514221,34.29501651,35.36612876,2559.425545,2674.633599,2754.418384,2878.593051,6.358491927,3.12323,2.422810078,2.517139912,2.544500113,2.320339918,2.384320021,1.848369956,2.199470043,,2.199470043,57,35.70616531,43.03782272,34.7,576,2.419260025,2.384320021,2.199470043,2.384320021,2.2,,14.46401978,6.8,6.342000008,3.1,44.66867828,17,10,24,24,-0.61,-0.970410824,-1.04,-0.915673137,-0.84,-0.964260876,-1.23,-1.13051641,-1.01,-0.996127367,28.2,27.8,26.9,25.6,52.2,54.2,40,40,25.4,0.309288541,0.5,0.636098981,21.9,21.92982456,17,0.014845411,0.02
Guinea-Bissau,GNB,1700000,28120,,,,0.455,0.483,,4.8,3.800002427,3.564798265,3.725214187,3.635809047,3.773969879,1947.369095,2021.136428,1948.643401,2057.100002,1.283736703,3.800002427,2.200000048,2.299999952,2.299999952,2.200000048,2.137870073,2.947819948,2.708427668,,2.708427668,100,61.23582077,62.57557678,58.3,667,,2.137870073,2.708427668,2.137870073,2.71,,,6.5,6.758999825,4.7,33.33546829,16,17,25,26,-0.6,-0.280239314,-1.77,-1.423883915,-1.18,-1.25828886,-1.44,-1.437948465,-1.56,-1.300152063,53.5,14,27.3,15.9,56.9,46,30,30,21.9,0.171792958,,0.024254772,13.7,13.7254902,13.7254902,0.017826387,0.014
Guyana,GUY,800000,196849,44.6,,,0.654,0.714,42.8,3,19.92722887,9.72012266,10.24040461,14.69288706,17.62077229,12775.6714,13634.30959,19702.97442,24493.71407,4.441013589,19.92722887,4.360330105,3.895699978,4.737750053,4.66478014,4.45058012,,,,4.45058012,336,301.4482727,325.8851624,4.1,169,,4.45058012,,4.45058012,,,,11.4,16.42499924,,92.5405426,32,30,42,43,-0.04,-0.143802285,-0.29,-0.236731559,-0.39,-0.519256711,-0.29,-0.39758274,-0.51,-0.165203333,42.5,47.4,34.8,41.5,58.7,59.5,30,30,31.2,3.640892855,,0.023776467,31.9,31.88405797,35.71428571,0.009565162,0.017
Haiti,HTI,11000000,27560,60.8,28.6,38.2,0.498,0.535,24.2,1,-1.798239889,35.20826561,34.6151489,33.45783549,32.85618335,3240.924375,3203.037737,3094.941621,3127.415571,1.667810955,-1.798239889,1.753149986,1.857040048,1.395859957,1.504230022,1.632069945,,,,1.632069945,120,63.13831329,56.99440002,3.4,480,,1.632069945,,1.632069945,,,,13.2,15.72599983,,46.92553329,17,11,24,22,-0.7,-1.095350504,-2.06,-2.187487841,-1.32,-1.318740487,-1.09,-1.250733852,-1.24,-1.423377037,42.5,18.6,24.6,14.3,55.8,50,30,30,21.9,0.294768414,0.084,0.136456212,2.5,2.542372881,,0.001885407,0
Honduras,HND,9000000,111890,47.1,27.2,57.7,0.617,0.621,41.9,3.6,12.53409602,54.4606098,55.90548586,50.89369312,57.27275748,5816.067372,5978.274828,5419.792164,6252.569135,3.84499477,12.53409602,7.090119839,6.412970066,5.159619808,4.937019825,6.056469917,4.912849903,6.438438892,,6.438438892,353,180.889801,187.5543366,45.63113572,65,,6.056469917,6.438438892,6.056469917,6.438438892,15.69806957,,6.3,8.512999535,4.3,93.20671082,20,21,26,26,-0.55,-0.611998737,-0.51,-0.782125533,-0.44,-0.521958768,-1.05,-1.072383642,-0.72,-1.072395802,34.5,29,28.2,25.4,60.6,59.5,60,60,27.9,1.048622992,0.436,0.575474873,25.8,21.09375,27.34375,0.016058807,0.016
