country,iso_country_code_2018,metric,value,metric_type,latest,metric_no_year,ranking,metric_rank,country_strengths_order,country_weaknesses_order,country_strengths_order_by_broad_metric,country_weaknesses_order_by_broad_metric
Ecuador,ECU,gdp_($_usd_billions_ppp)_2019,197.5489616,output,0,gdp_($_usd_billions_ppp),high,67.0,6.0,22.0,,13.0
Egypt,EGY,gdp_($_usd_billions_ppp)_2019,1180.890365,output,0,gdp_($_usd_billions_ppp),high,22.0,5.0,23.0,,
El Salvador,SLV,gdp_($_usd_billions_ppp)_2019,56.6371261,output,0,gdp_($_usd_billions_ppp),high,102.0,20.0,10.0,,
Equatorial Guinea,GNQ,gdp_($_usd_billions_ppp)_2019,25.22179644,output,0,gdp_($_usd_billions_ppp),high,136.0,15.0,9.0,,5.0
Estonia,EST,gdp_($_usd_billions_ppp)_2019,48.29899328,output,0,gdp_($_usd_billions_ppp),high,108.0,24.0,6.0,,
Eswatini,SWZ,gdp_($_usd_billions_ppp)_2019,9.934706117,output,0,gdp_($_usd_billions_ppp),high,153.0,23.0,4.0,,
Ethiopia,ETH,gdp_($_usd_billions_ppp)_2019,248.972207,output,0,gdp_($_usd_billions_ppp),high,60.0,7.0,21.0,,
Fiji,FJI,gdp_($_usd_billions_ppp)_2019,12.17840381,output,0,gdp_($_usd_billions_ppp),high,149.0,23.0,4.0,,
Finland,FIN,gdp_($_usd_billions_ppp)_2019,268.2539071,output,0,gdp_($_usd_billions_ppp),high,57.0,20.0,10.0,,
France,FRA,gdp_($_usd_billions_ppp)_2019,3094.645338,output,0,gdp_($_usd_billions_ppp),high,10.0,4.0,23.0,,
Gabon,GAB,gdp_($_usd_billions_ppp)_2019,32.47104509,output,0,gdp_($_usd_billions_ppp),high,129.0,20.0,8.0,,5.0
"Gambia, The",GMB,gdp_($_usd_billions_ppp)_2019,5.22677868,output,0,gdp_($_usd_billions_ppp),high,158.0,22.0,3.0,,
Georgia,GEO,gdp_($_usd_billions_ppp)_2019,55.76245363,output,0,gdp_($_usd_billions_ppp),high,105.0,25.0,5.0,,
Germany,DEU,gdp_($_usd_billions_ppp)_2019,4481.173468,output,0,gdp_($_usd_billions_ppp),high,5.0,5.0,24.0,,
Ghana,GHA,gdp_($_usd_billions_ppp)_2019,168.5163212,output,0,gdp_($_usd_billions_ppp),high,71.0,11.0,16.0,,
Greece,GRC,gdp_($_usd_billions_ppp)_2019,318.409869,output,0,gdp_($_usd_billions_ppp),high,53.0,16.0,13.0,,
Guatemala,GTM,gdp_($_usd_billions_ppp)_2019,143.6797543,output,0,gdp_($_usd_billions_ppp),high,77.0,15.0,13.0,,
Guinea,GIN,gdp_($_usd_billions_ppp)_2019,32.77514221,output,0,gdp_($_usd_billions_ppp),high,128.0,14.0,14.0,,
Guinea-Bissau,GNB,gdp_($_usd_billions_ppp)_2019,3.725214187,output,0,gdp_($_usd_billions_ppp),high,164.0,24.0,3.0,,
Guyana,GUY,gdp_($_usd_billions_ppp)_2019,10.24040461,output,0,gdp_($_usd_billions_ppp),high,152.0,24.0,2.0,,2.0
Haiti,HTI,gdp_($_usd_billions_ppp)_2019,34.6151489,output,0,gdp_($_usd_billions_ppp),high,124.0,8.0,20.0,,11.0
Honduras,HND,gdp_($_usd_billions_ppp)_2019,55.90548586,output,0,gdp_($_usd_billions_ppp),high,104.0,15.0,13.0,,
Hungary,HUN,gdp_($_usd_billions_ppp)_2019,318.0867388,output,0,gdp_($_usd_billions_ppp),high,54.0,23.0,7.0,,
Iceland,ISL,gdp_($_usd_billions_ppp)_2019,20.52893302,output,0,gdp_($_usd_billions_ppp),high,142.0,27.0,2.0,,
India,IND,gdp_($_usd_billions_ppp)_2019,9140.467596,output,0,gdp_($_usd_billions_ppp),high,3.0,2.0,25.0,,
Indonesia,IDN,gdp_($_usd_billions_ppp)_2019,3196.656917,output,0,gdp_($_usd_billions_ppp),high,7.0,1.0,26.0,1.0,
Iran,IRN,gdp_($_usd_billions_ppp)_2019,1235.708816,output,0,gdp_($_usd_billions_ppp),high,21.0,4.0,24.0,,
Iraq,IRQ,gdp_($_usd_billions_ppp)_2019,428.0758386,output,0,gdp_($_usd_billions_ppp),high,46.0,3.0,20.0,3.0,
Ireland,IRL,gdp_($_usd_billions_ppp)_2019,427.560584,output,0,gdp_($_usd_billions_ppp),high,47.0,24.0,5.0,,
Israel,ISR,gdp_($_usd_billions_ppp)_2019,367.8297531,output,0,gdp_($_usd_billions_ppp),high,49.0,22.0,7.0,,
Italy,ITA,gdp_($_usd_billions_ppp)_2019,2553.196961,output,0,gdp_($_usd_billions_ppp),high,11.0,3.0,27.0,,
Jamaica,JAM,gdp_($_usd_billions_ppp)_2019,28.82532099,output,0,gdp_($_usd_billions_ppp),high,131.0,24.0,4.0,,
Japan,JPN,gdp_($_usd_billions_ppp)_2019,5280.268366,output,0,gdp_($_usd_billions_ppp),high,4.0,3.0,24.0,,
Jordan,JOR,gdp_($_usd_billions_ppp)_2019,101.738028,output,0,gdp_($_usd_billions_ppp),high,86.0,12.0,15.0,,
Kazakhstan,KAZ,gdp_($_usd_billions_ppp)_2019,487.8686904,output,0,gdp_($_usd_billions_ppp),high,43.0,6.0,23.0,,
Kenya,KEN,gdp_($_usd_billions_ppp)_2019,234.4383912,output,0,gdp_($_usd_billions_ppp),high,62.0,7.0,21.0,,
Korea (Rep.),KOR,gdp_($_usd_billions_ppp)_2019,2213.390819,output,0,gdp_($_usd_billions_ppp),high,14.0,3.0,19.0,,
Kosovo,,gdp_($_usd_billions_ppp)_2019,20.24734811,output,0,gdp_($_usd_billions_ppp),high,143.0,19.0,2.0,,
Kuwait,KWT,gdp_($_usd_billions_ppp)_2019,210.1297443,output,0,gdp_($_usd_billions_ppp),high,65.0,13.0,10.0,,7.0
Kyrgyzstan,KGZ,gdp_($_usd_billions_ppp)_2019,33.94906706,output,0,gdp_($_usd_billions_ppp),high,125.0,24.0,5.0,,
Laos,LAO,gdp_($_usd_billions_ppp)_2019,56.54301034,output,0,gdp_($_usd_billions_ppp),high,103.0,12.0,16.0,,
Latvia,LVA,gdp_($_usd_billions_ppp)_2019,59.35170643,output,0,gdp_($_usd_billions_ppp),high,101.0,23.0,6.0,,
Lebanon,LBN,gdp_($_usd_billions_ppp)_2019,99.36234341,output,0,gdp_($_usd_billions_ppp),high,88.0,8.0,20.0,,
Lesotho,LSO,gdp_($_usd_billions_ppp)_2019,5.644955375,output,0,gdp_($_usd_billions_ppp),high,157.0,24.0,5.0,,
Liberia,LBR,gdp_($_usd_billions_ppp)_2019,7.256774358,output,0,gdp_($_usd_billions_ppp),high,156.0,21.0,9.0,,
Libya,LBY,gdp_($_usd_billions_ppp)_2019,148.0373254,output,0,gdp_($_usd_billions_ppp),high,75.0,10.0,12.0,,
Lithuania,LTU,gdp_($_usd_billions_ppp)_2019,103.8474827,output,0,gdp_($_usd_billions_ppp),high,85.0,22.0,7.0,,
Luxembourg,LUX,gdp_($_usd_billions_ppp)_2019,72.24144814,output,0,gdp_($_usd_billions_ppp),high,99.0,25.0,4.0,,3.0
Macedonia,MKD,gdp_($_usd_billions_ppp)_2019,34.83247272,output,0,gdp_($_usd_billions_ppp),high,122.0,21.0,5.0,,
Madagascar,MDG,gdp_($_usd_billions_ppp)_2019,43.6506999,output,0,gdp_($_usd_billions_ppp),high,111.0,16.0,12.0,,
Malawi,MWI,gdp_($_usd_billions_ppp)_2019,28.63501716,output,0,gdp_($_usd_billions_ppp),high,132.0,20.0,10.0,,
Malaysia,MYS,gdp_($_usd_billions_ppp)_2019,908.0597294,output,0,gdp_($_usd_billions_ppp),high,29.0,5.0,23.0,,
Maldives,MDV,gdp_($_usd_billions_ppp)_2019,10.35923222,output,0,gdp_($_usd_billions_ppp),high,151.0,21.0,3.0,,
Mali,MLI,gdp_($_usd_billions_ppp)_2019,45.64007523,output,0,gdp_($_usd_billions_ppp),high,109.0,14.0,15.0,,
Malta,MLT,gdp_($_usd_billions_ppp)_2019,22.88276767,output,0,gdp_($_usd_billions_ppp),high,140.0,28.0,2.0,,
Mauritania,MRT,gdp_($_usd_billions_ppp)_2019,24.18532071,output,0,gdp_($_usd_billions_ppp),high,139.0,24.0,4.0,,
Mauritius,MUS,gdp_($_usd_billions_ppp)_2019,28.94650213,output,0,gdp_($_usd_billions_ppp),high,130.0,25.0,3.0,,
Mexico,MEX,gdp_($_usd_billions_ppp)_2019,2510.104752,output,0,gdp_($_usd_billions_ppp),high,12.0,3.0,27.0,,
Moldova,MDA,gdp_($_usd_billions_ppp)_2019,34.71532637,output,0,gdp_($_usd_billions_ppp),high,123.0,22.0,5.0,,
Mongolia,MNG,gdp_($_usd_billions_ppp)_2019,40.2696725,output,0,gdp_($_usd_billions_ppp),high,113.0,21.0,7.0,,
Montenegro,MNE,gdp_($_usd_billions_ppp)_2019,13.39470871,output,0,gdp_($_usd_billions_ppp),high,147.0,24.0,4.0,,
Morocco,MAR,gdp_($_usd_billions_ppp)_2019,279.6391404,output,0,gdp_($_usd_billions_ppp),high,56.0,12.0,17.0,,
Mozambique,MOZ,gdp_($_usd_billions_ppp)_2019,38.92258701,output,0,gdp_($_usd_billions_ppp),high,115.0,11.0,17.0,,11.0
Myanmar,MMR,gdp_($_usd_billions_ppp)_2019,256.1596508,output,0,gdp_($_usd_billions_ppp),high,58.0,6.0,22.0,,
Namibia,NAM,gdp_($_usd_billions_ppp)_2019,24.46933092,output,0,gdp_($_usd_billions_ppp),high,138.0,21.0,5.0,,4.0
Nepal,NPL,gdp_($_usd_billions_ppp)_2019,113.0833943,output,0,gdp_($_usd_billions_ppp),high,83.0,11.0,17.0,,
Netherlands,NLD,gdp_($_usd_billions_ppp)_2019,984.9119714,output,0,gdp_($_usd_billions_ppp),high,26.0,19.0,8.0,,
New Zealand,NZL,gdp_($_usd_billions_ppp)_2019,214.6551605,output,0,gdp_($_usd_billions_ppp),high,63.0,21.0,6.0,,
Nicaragua,NIC,gdp_($_usd_billions_ppp)_2019,35.64503899,output,0,gdp_($_usd_billions_ppp),high,121.0,25.0,3.0,,3.0
Niger,NER,gdp_($_usd_billions_ppp)_2019,28.54106472,output,0,gdp_($_usd_billions_ppp),high,133.0,16.0,13.0,,
Nigeria,NGA,gdp_($_usd_billions_ppp)_2019,1032.048476,output,0,gdp_($_usd_billions_ppp),high,24.0,2.0,26.0,,
Norway,NOR,gdp_($_usd_billions_ppp)_2019,344.324316,output,0,gdp_($_usd_billions_ppp),high,51.0,22.0,8.0,,
Oman,OMN,gdp_($_usd_billions_ppp)_2019,155.6377311,output,0,gdp_($_usd_billions_ppp),high,73.0,14.0,12.0,,
Pakistan,PAK,gdp_($_usd_billions_ppp)_2019,1151.645491,output,0,gdp_($_usd_billions_ppp),high,23.0,3.0,25.0,,14.0
Panama,PAN,gdp_($_usd_billions_ppp)_2019,133.5091927,output,0,gdp_($_usd_billions_ppp),high,80.0,25.0,4.0,,
Papua New Guinea,PNG,gdp_($_usd_billions_ppp)_2019,37.67245117,output,0,gdp_($_usd_billions_ppp),high,118.0,9.0,16.0,,
Paraguay,PRY,gdp_($_usd_billions_ppp)_2019,88.8718451,output,0,gdp_($_usd_billions_ppp),high,93.0,24.0,5.0,,4.0
Peru,PER,gdp_($_usd_billions_ppp)_2019,418.0301285,output,0,gdp_($_usd_billions_ppp),high,48.0,10.0,18.0,,12.0
Philippines,PHL,gdp_($_usd_billions_ppp)_2019,963.8298231,output,0,gdp_($_usd_billions_ppp),high,28.0,7.0,22.0,,
Poland,POL,gdp_($_usd_billions_ppp)_2019,1259.890291,output,0,gdp_($_usd_billions_ppp),high,19.0,6.0,23.0,,
Portugal,PRT,gdp_($_usd_billions_ppp)_2019,359.4602632,output,0,gdp_($_usd_billions_ppp),high,50.0,17.0,13.0,,
Qatar,QAT,gdp_($_usd_billions_ppp)_2019,255.0104319,output,0,gdp_($_usd_billions_ppp),high,59.0,19.0,7.0,,
Romania,ROU,gdp_($_usd_billions_ppp)_2019,578.7292,output,0,gdp_($_usd_billions_ppp),high,37.0,6.0,23.0,,
Russia,RUS,gdp_($_usd_billions_ppp)_2019,4000.008096,output,0,gdp_($_usd_billions_ppp),high,6.0,4.0,24.0,,
Rwanda,RWA,gdp_($_usd_billions_ppp)_2019,28.12670101,output,0,gdp_($_usd_billions_ppp),high,134.0,20.0,8.0,,
Saudi Arabia,SAU,gdp_($_usd_billions_ppp)_2019,1610.618743,output,0,gdp_($_usd_billions_ppp),high,17.0,3.0,23.0,,
Senegal,SEN,gdp_($_usd_billions_ppp)_2019,54.89042132,output,0,gdp_($_usd_billions_ppp),high,106.0,17.0,12.0,,
Serbia,SRB,gdp_($_usd_billions_ppp)_2019,127.1449256,output,0,gdp_($_usd_billions_ppp),high,81.0,24.0,6.0,,
Sierra Leone,SLE,gdp_($_usd_billions_ppp)_2019,13.32301379,output,0,gdp_($_usd_billions_ppp),high,148.0,16.0,12.0,,
Singapore,SGP,gdp_($_usd_billions_ppp)_2019,560.5656339,output,0,gdp_($_usd_billions_ppp),high,38.0,21.0,6.0,,
Slovakia,SVK,gdp_($_usd_billions_ppp)_2019,174.1377901,output,0,gdp_($_usd_billions_ppp),high,70.0,22.0,8.0,,
Slovenia,SVN,gdp_($_usd_billions_ppp)_2019,81.33567355,output,0,gdp_($_usd_billions_ppp),high,94.0,26.0,3.0,,
Solomon Islands,SLB,gdp_($_usd_billions_ppp)_2019,850.9433784,output,0,gdp_($_usd_billions_ppp),high,31.0,4.0,21.0,,
Somalia,SOM,gdp_($_usd_billions_ppp)_2019,1.782068746,output,0,gdp_($_usd_billions_ppp),high,167.0,16.0,4.0,,
South Africa,ZAF,gdp_($_usd_billions_ppp)_2019,18.32224928,output,0,gdp_($_usd_billions_ppp),high,144.0,25.0,4.0,,
South Sudan,SSD,gdp_($_usd_billions_ppp)_2019,802.8318715,output,0,gdp_($_usd_billions_ppp),high,32.0,3.0,9.0,,
Spain,ESP,gdp_($_usd_billions_ppp)_2019,1923.218609,output,0,gdp_($_usd_billions_ppp),high,15.0,5.0,24.0,,
Sri Lanka,LKA,gdp_($_usd_billions_ppp)_2019,285.1731807,output,0,gdp_($_usd_billions_ppp),high,55.0,7.0,21.0,,
Sudan,SDN,gdp_($_usd_billions_ppp)_2019,178.6838791,output,0,gdp_($_usd_billions_ppp),high,69.0,4.0,22.0,,13.0
Suriname,SUR,gdp_($_usd_billions_ppp)_2019,11.06725921,output,0,gdp_($_usd_billions_ppp),high,150.0,21.0,7.0,,
Sweden,SWE,gdp_($_usd_billions_ppp)_2019,543.2450285,output,0,gdp_($_usd_billions_ppp),high,39.0,18.0,11.0,,
Switzerland,CHE,gdp_($_usd_billions_ppp)_2019,608.3677069,output,0,gdp_($_usd_billions_ppp),high,35.0,19.0,8.0,,
Tajikistan,TJK,gdp_($_usd_billions_ppp)_2019,33.38239741,output,0,gdp_($_usd_billions_ppp),high,127.0,17.0,8.0,,
Tanzania,TZA,gdp_($_usd_billions_ppp)_2019,149.7976996,output,0,gdp_($_usd_billions_ppp),high,74.0,9.0,20.0,,
Thailand,THA,gdp_($_usd_billions_ppp)_2019,1283.801537,output,0,gdp_($_usd_billions_ppp),high,18.0,7.0,23.0,,
Timor-Leste,TLS,gdp_($_usd_billions_ppp)_2019,4.6897236,output,0,gdp_($_usd_billions_ppp),high,160.0,23.0,2.0,,
Togo,TGO,gdp_($_usd_billions_ppp)_2019,17.1499569,output,0,gdp_($_usd_billions_ppp),high,145.0,21.0,9.0,,
Trinidad and Tobago,TTO,gdp_($_usd_billions_ppp)_2019,37.42324366,output,0,gdp_($_usd_billions_ppp),high,119.0,20.0,8.0,,
Tunisia,TUN,gdp_($_usd_billions_ppp)_2019,133.5636512,output,0,gdp_($_usd_billions_ppp),high,79.0,8.0,19.0,,10.0
Turkiye,TUR,gdp_($_usd_billions_ppp)_2019,2352.485388,output,0,gdp_($_usd_billions_ppp),high,13.0,6.0,24.0,,
Turkmenistan,TKM,gdp_($_usd_billions_ppp)_2019,92.33075207,output,0,gdp_($_usd_billions_ppp),high,92.0,10.0,12.0,8.0,
Uganda,UGA,gdp_($_usd_billions_ppp)_2019,96.63607087,output,0,gdp_($_usd_billions_ppp),high,90.0,11.0,18.0,,
Ukraine,UKR,gdp_($_usd_billions_ppp)_2019,538.164208,output,0,gdp_($_usd_billions_ppp),high,40.0,5.0,24.0,,
United Arab Emirates,ARE,gdp_($_usd_billions_ppp)_2019,666.9720167,output,0,gdp_($_usd_billions_ppp),high,34.0,16.0,11.0,,
United Kingdom,GBR,gdp_($_usd_billions_ppp)_2019,3165.942197,output,0,gdp_($_usd_billions_ppp),high,8.0,6.0,22.0,,
United States,USA,gdp_($_usd_billions_ppp)_2019,20507.07955,output,0,gdp_($_usd_billions_ppp),high,2.0,3.0,25.0,,
Uruguay,URY,gdp_($_usd_billions_ppp)_2019,79.73312945,output,0,gdp_($_usd_billions_ppp),high,95.0,22.0,7.0,,5.0
Uzbekistan,UZB,gdp_($_usd_billions_ppp)_2019,246.7533442,output,0,gdp_($_usd_billions_ppp),high,61.0,11.0,17.0,,9.0
Vietnam,VNM,gdp_($_usd_billions_ppp)_2019,977.5719888,output,0,gdp_($_usd_billions_ppp),high,27.0,11.0,19.0,,
Zambia,ZMB,gdp_($_usd_billions_ppp)_2019,61.98556666,output,0,gdp_($_usd_billions_ppp),high,100.0,9.0,19.0,,
Zimbabwe,ZWE,gdp_($_usd_billions_ppp)_2019,33.84033961,output,0,gdp_($_usd_billions_ppp),high,126.0,12.0,16.0,,
Afghanistan,AFG,gdp_($_usd_billions_ppp)_2020,76.71063823,output,0,gdp_($_usd_billions_ppp),high,93.0,2.0,22.0,2.0,
Albania,ALB,gdp_($_usd_billions_ppp)_2020,37.6120939,output,0,gdp_($_usd_billions_ppp),high,114.0,26.0,4.0,,
Algeria,DZA,gdp_($_usd_billions_ppp)_2020,470.7577213,output,0,gdp_($_usd_billions_ppp),high,42.0,4.0,23.0,,13.0
Angola,AGO,gdp_($_usd_billions_ppp)_2020,201.8634296,output,0,gdp_($_usd_billions_ppp),high,64.0,5.0,23.0,,
Argentina,ARG,gdp_($_usd_billions_ppp)_2020,893.4984785,output,0,gdp_($_usd_billions_ppp),high,28.0,8.0,21.0,,13.0
Armenia,ARM,gdp_($_usd_billions_ppp)_2020,37.39569351,output,0,gdp_($_usd_billions_ppp),high,115.0,25.0,4.0,,
Australia,AUS,gdp_($_usd_billions_ppp)_2020,1250.714385,output,0,gdp_($_usd_billions_ppp),high,19.0,16.0,12.0,9.0,
Austria,AUT,gdp_($_usd_billions_ppp)_2020,462.4079898,output,0,gdp_($_usd_billions_ppp),high,43.0,18.0,10.0,,7.0
Azerbaijan,AZE,gdp_($_usd_billions_ppp)_2020,138.5459471,output,0,gdp_($_usd_billions_ppp),high,76.0,17.0,12.0,,
Bahamas,BHS,gdp_($_usd_billions_ppp)_2020,10.83620714,output,0,gdp_($_usd_billions_ppp),high,148.0,23.0,3.0,,3.0
Bahrain,BHR,gdp_($_usd_billions_ppp)_2020,70.69369762,output,0,gdp_($_usd_billions_ppp),high,97.0,22.0,7.0,,
Bangladesh,BGD,gdp_($_usd_billions_ppp)_2020,936.1131507,output,0,gdp_($_usd_billions_ppp),high,27.0,6.0,22.0,,
Barbados,BRB,gdp_($_usd_billions_ppp)_2020,3.826772299,output,0,gdp_($_usd_billions_ppp),high,161.0,24.0,2.0,,
Belarus,BLR,gdp_($_usd_billions_ppp)_2020,179.9710362,output,0,gdp_($_usd_billions_ppp),high,68.0,15.0,15.0,,
Belgium,BEL,gdp_($_usd_billions_ppp)_2020,562.8106277,output,0,gdp_($_usd_billions_ppp),high,36.0,17.0,14.0,,
Belize,BLZ,gdp_($_usd_billions_ppp)_2020,2.32437549,output,0,gdp_($_usd_billions_ppp),high,165.0,25.0,3.0,,
Benin,BEN,gdp_($_usd_billions_ppp)_2020,40.28713816,output,0,gdp_($_usd_billions_ppp),high,111.0,14.0,14.0,,
Bhutan,BTN,gdp_($_usd_billions_ppp)_2020,8.141626865,output,0,gdp_($_usd_billions_ppp),high,153.0,21.0,5.0,13.0,
Bolivia,BOL,gdp_($_usd_billions_ppp)_2020,91.66892676,output,0,gdp_($_usd_billions_ppp),high,90.0,13.0,16.0,,9.0
Bosnia and Herzegovina,BIH,gdp_($_usd_billions_ppp)_2020,47.64040637,output,0,gdp_($_usd_billions_ppp),high,106.0,21.0,6.0,,
Botswana,BWA,gdp_($_usd_billions_ppp)_2020,34.49317392,output,0,gdp_($_usd_billions_ppp),high,121.0,20.0,8.0,,6.0
Brazil,BRA,gdp_($_usd_billions_ppp)_2020,2989.42954,output,0,gdp_($_usd_billions_ppp),high,8.0,3.0,26.0,,
Brunei,BRN,gdp_($_usd_billions_ppp)_2020,27.21182848,output,0,gdp_($_usd_billions_ppp),high,131.0,19.0,7.0,,
Bulgaria,BGR,gdp_($_usd_billions_ppp)_2020,155.1769757,output,0,gdp_($_usd_billions_ppp),high,72.0,17.0,13.0,,
Burkina Faso,BFA,gdp_($_usd_billions_ppp)_2020,45.06264623,output,0,gdp_($_usd_billions_ppp),high,109.0,15.0,14.0,,
Burundi,BDI,gdp_($_usd_billions_ppp)_2020,8.692922797,output,0,gdp_($_usd_billions_ppp),high,152.0,14.0,14.0,,
Cabo Verde,CPV,gdp_($_usd_billions_ppp)_2020,3.360981311,output,0,gdp_($_usd_billions_ppp),high,163.0,22.0,3.0,,
Cambodia,KHM,gdp_($_usd_billions_ppp)_2020,70.11599922,output,0,gdp_($_usd_billions_ppp),high,98.0,12.0,17.0,,
Cameroon,CMR,gdp_($_usd_billions_ppp)_2020,97.32803784,output,0,gdp_($_usd_billions_ppp),high,88.0,8.0,20.0,,
Canada,CAN,gdp_($_usd_billions_ppp)_2020,1752.155425,output,0,gdp_($_usd_billions_ppp),high,15.0,9.0,17.0,6.0,
Central African Republic,CAF,gdp_($_usd_billions_ppp)_2020,4.529625417,output,0,gdp_($_usd_billions_ppp),high,160.0,16.0,11.0,,
Chad,TCD,gdp_($_usd_billions_ppp)_2020,24.78706756,output,0,gdp_($_usd_billions_ppp),high,134.0,10.0,19.0,,
Chile,CHL,gdp_($_usd_billions_ppp)_2020,444.2486551,output,0,gdp_($_usd_billions_ppp),high,45.0,19.0,10.0,,6.0
China,CHN,gdp_($_usd_billions_ppp)_2020,22996.3847,output,0,gdp_($_usd_billions_ppp),high,1.0,3.0,26.0,,
Colombia,COL,gdp_($_usd_billions_ppp)_2020,681.8444829,output,0,gdp_($_usd_billions_ppp),high,33.0,11.0,20.0,,
Comoros,COM,gdp_($_usd_billions_ppp)_2020,2.595230973,output,0,gdp_($_usd_billions_ppp),high,164.0,23.0,4.0,,
Congo (Dem. Rep.),COD,gdp_($_usd_billions_ppp)_2020,96.94531565,output,0,gdp_($_usd_billions_ppp),high,89.0,8.0,19.0,,
Congo (Rep.),COG,gdp_($_usd_billions_ppp)_2020,19.29988795,output,0,gdp_($_usd_billions_ppp),high,140.0,16.0,12.0,,
Costa Rica,CRI,gdp_($_usd_billions_ppp)_2020,101.5622104,output,0,gdp_($_usd_billions_ppp),high,85.0,24.0,6.0,,
Cote d'Ivoire,CIV,gdp_($_usd_billions_ppp)_2020,136.6740506,output,0,gdp_($_usd_billions_ppp),high,77.0,13.0,16.0,,
Croatia,HRV,gdp_($_usd_billions_ppp)_2020,109.5989468,output,0,gdp_($_usd_billions_ppp),high,82.0,22.0,9.0,,
Cyprus,CYP,gdp_($_usd_billions_ppp)_2020,34.79507832,output,0,gdp_($_usd_billions_ppp),high,119.0,25.0,4.0,,
Czech Republic,CZE,gdp_($_usd_billions_ppp)_2020,411.988087,output,0,gdp_($_usd_billions_ppp),high,46.0,23.0,7.0,,4.0
Denmark,DNK,gdp_($_usd_billions_ppp)_2020,325.5084437,output,0,gdp_($_usd_billions_ppp),high,52.0,20.0,11.0,,
Djibouti,DJI,gdp_($_usd_billions_ppp)_2020,5.182479402,output,0,gdp_($_usd_billions_ppp),high,158.0,21.0,5.0,,
Dominican Republic,DOM,gdp_($_usd_billions_ppp)_2020,184.447053,output,0,gdp_($_usd_billions_ppp),high,66.0,12.0,17.0,,
Ecuador,ECU,gdp_($_usd_billions_ppp)_2020,182.1646247,output,0,gdp_($_usd_billions_ppp),high,67.0,7.0,23.0,,
Egypt,EGY,gdp_($_usd_billions_ppp)_2020,1223.044248,output,0,gdp_($_usd_billions_ppp),high,21.0,4.0,24.0,,
El Salvador,SLV,gdp_($_usd_billions_ppp)_2020,51.77691751,output,0,gdp_($_usd_billions_ppp),high,104.0,21.0,8.0,,5.0
Equatorial Guinea,GNQ,gdp_($_usd_billions_ppp)_2020,24.15201945,output,0,gdp_($_usd_billions_ppp),high,136.0,16.0,10.0,,
Estonia,EST,gdp_($_usd_billions_ppp)_2020,46.87365651,output,0,gdp_($_usd_billions_ppp),high,107.0,22.0,7.0,,
Eswatini,SWZ,gdp_($_usd_billions_ppp)_2020,9.750861926,output,0,gdp_($_usd_billions_ppp),high,150.0,21.0,5.0,,
Ethiopia,ETH,gdp_($_usd_billions_ppp)_2020,264.0587547,output,0,gdp_($_usd_billions_ppp),high,57.0,6.0,22.0,,
Fiji,FJI,gdp_($_usd_billions_ppp)_2020,10.33327618,output,0,gdp_($_usd_billions_ppp),high,149.0,24.0,5.0,,
Finland,FIN,gdp_($_usd_billions_ppp)_2020,262.0860628,output,0,gdp_($_usd_billions_ppp),high,58.0,21.0,8.0,,5.0
France,FRA,gdp_($_usd_billions_ppp)_2020,2851.553023,output,0,gdp_($_usd_billions_ppp),high,10.0,5.0,24.0,,
Gabon,GAB,gdp_($_usd_billions_ppp)_2020,31.87430491,output,0,gdp_($_usd_billions_ppp),high,126.0,18.0,10.0,,
"Gambia, The",GMB,gdp_($_usd_billions_ppp)_2020,5.216229843,output,0,gdp_($_usd_billions_ppp),high,157.0,20.0,4.0,,
Georgia,GEO,gdp_($_usd_billions_ppp)_2020,51.99266651,output,0,gdp_($_usd_billions_ppp),high,103.0,23.0,6.0,,
Germany,DEU,gdp_($_usd_billions_ppp)_2020,4276.401016,output,0,gdp_($_usd_billions_ppp),high,5.0,6.0,25.0,,
Ghana,GHA,gdp_($_usd_billions_ppp)_2020,169.3823968,output,0,gdp_($_usd_billions_ppp),high,70.0,10.0,17.0,,
Greece,GRC,gdp_($_usd_billions_ppp)_2020,289.6920719,output,0,gdp_($_usd_billions_ppp),high,54.0,18.0,11.0,,8.0
Guatemala,GTM,gdp_($_usd_billions_ppp)_2020,141.4967846,output,0,gdp_($_usd_billions_ppp),high,75.0,13.0,14.0,,
Guinea,GIN,gdp_($_usd_billions_ppp)_2020,34.29501651,output,0,gdp_($_usd_billions_ppp),high,122.0,12.0,16.0,,
Guinea-Bissau,GNB,gdp_($_usd_billions_ppp)_2020,3.635809047,output,0,gdp_($_usd_billions_ppp),high,162.0,22.0,4.0,,
Guyana,GUY,gdp_($_usd_billions_ppp)_2020,14.69288706,output,0,gdp_($_usd_billions_ppp),high,145.0,22.0,4.0,,
Haiti,HTI,gdp_($_usd_billions_ppp)_2020,33.45783549,output,0,gdp_($_usd_billions_ppp),high,123.0,7.0,21.0,,
Honduras,HND,gdp_($_usd_billions_ppp)_2020,50.89369312,output,0,gdp_($_usd_billions_ppp),high,105.0,17.0,12.0,,7.0
Hungary,HUN,gdp_($_usd_billions_ppp)_2020,303.8898251,output,0,gdp_($_usd_billions_ppp),high,53.0,21.0,8.0,,
Iceland,ISL,gdp_($_usd_billions_ppp)_2020,19.19374923,output,0,gdp_($_usd_billions_ppp),high,141.0,25.0,3.0,,
India,IND,gdp_($_usd_billions_ppp)_2020,8537.554993,output,0,gdp_($_usd_billions_ppp),high,3.0,3.0,26.0,,
